time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-09 00:00:00+00:00,1,1,27,6
2025-07-10 00:00:00+00:00,2,2,238,16
2025-07-11 00:00:00+00:00,2,2,34,13
2025-07-12 00:00:00+00:00,2,2,69,11
2025-07-13 00:00:00+00:00,0,0,68,10
2025-07-14 00:00:00+00:00,21,11,245,23
2025-07-15 00:00:00+00:00,4,3,219,22
2025-07-16 00:00:00+00:00,2,1,77,11
2025-07-17 00:00:00+00:00,6,5,88,19
2025-07-18 00:00:00+00:00,8,8,98,8
2025-07-19 00:00:00+00:00,5,5,28,3
2025-07-20 00:00:00+00:00,3,3,20,7
2025-07-21 00:00:00+00:00,5,5,129,14
2025-07-22 00:00:00+00:00,9,8,70,11
2025-07-23 00:00:00+00:00,60,21,200,23
2025-07-24 00:00:00+00:00,15,8,123,36
2025-07-25 00:00:00+00:00,21,12,180,37
2025-07-26 00:00:00+00:00,14,7,28,5
2025-07-27 00:00:00+00:00,16,9,41,12
2025-07-28 00:00:00+00:00,12,6,126,22
2025-07-29 00:00:00+00:00,55,19,199,15
2025-07-30 00:00:00+00:00,31,14,183,30
2025-07-31 00:00:00+00:00,19,11,110,20
2025-08-01 00:00:00+00:00,14,7,33,7
2025-08-02 00:00:00+00:00,16,6,95,13
2025-08-03 00:00:00+00:00,16,7,42,18
2025-08-04 00:00:00+00:00,20,13,246,20
2025-08-05 00:00:00+00:00,18,10,74,16
2025-08-06 00:00:00+00:00,13,7,23,12
2025-08-07 00:00:00+00:00,16,8,66,13
2025-08-08 00:00:00+00:00,15,9,77,13
2025-08-09 00:00:00+00:00,19,10,26,11
2025-08-10 00:00:00+00:00,17,9,17,14
2025-08-11 00:00:00+00:00,16,9,52,16
2025-08-12 00:00:00+00:00,18,11,40,13
2025-08-13 00:00:00+00:00,15,8,22,12
2025-08-14 00:00:00+00:00,10,4,59,7
2025-08-15 00:00:00+00:00,12,6,70,13
2025-08-16 00:00:00+00:00,15,7,52,8
2025-08-17 00:00:00+00:00,14,8,34,14
2025-08-18 00:00:00+00:00,12,6,94,17
2025-08-19 00:00:00+00:00,63,17,94,14
2025-08-20 00:00:00+00:00,23,12,63,16
2025-08-21 00:00:00+00:00,20,10,172,24
2025-08-22 00:00:00+00:00,19,9,291,19
2025-08-23 00:00:00+00:00,15,8,49,9
2025-08-24 00:00:00+00:00,16,9,60,7
2025-08-25 00:00:00+00:00,22,14,83,12
2025-08-26 00:00:00+00:00,30,12,95,8
